265,2
266,2
267,10
268,9
269,4
270,10
271,10
272,2
273,3
274,-1
275,5
276,1
277,3
278,7
279,2
280,6
281,7
282,5
283,4
284,5
285,4
286,8
287,7
288,1
289,1
290,2
291,2
292,1
293,7
294,7
295,7
296,4
297,1
298,7
299,5
300,2
301,4
302,9
303,7
304,2
305,9
307,10
308,1
309,3
310,9
311,1
313,10
314,5
315,7
316,9
317,9
319,8
320,1
321,9
322,7
323,7
324,8
326,4
327,1
328,10
329,10
330,-1
331,10
332,7
333,2
334,-1
335,6
336,6
337,3
338,6
340,7
341,9
342,7
343,3
344,9
345,-1
346,7
347,7
349,8
350,8
351,4
352,8
353,3
354,6
355,7
356,4
