63,0,31
50,0,32
11,0,33
30,0,33
53,0,33
24,0,34
32,0,35
46,0,35
56,0,36
12,0,37
21,0,37
85,0,38
3,0,39
10,0,39
14,0,40
15,0,43
29,0,43
52,0,43
28,0,44
31,0,44
54,0,44
39,0,45
79,0,45
81,0,45
69,0,46
76,0,46
0,0,47
4,0,47
34,0,47
38,0,47
40,0,47
25,0,48
65,0,48
55,0,49
60,0,49
27,0,50
66,0,50
7,0,51
42,0,51
87,0,51
5,0,52
45,0,52
8,0,53
9,0,53
17,0,53
18,0,53
22,0,53
84,0,53
48,0,54
68,0,54
70,0,54
1,0,55
6,0,55
16,0,55
33,0,55
80,0,55
78,0,56
86,0,56
73,0,57
74,0,57
23,0,58
43,0,59
57,0,59
67,0,59
59,0,60
83,0,60
49,0,61
64,0,61
35,0,62
72,0,64
44,0,65
26,0,70
75,0,70
